,label,message
50,0,What you thinked about me. First time you saw me in class.
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
52,0,K fyi x has a ride early tomorrow morning but he is crashing at our place tonight
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I am sorry I did not and do not have more to give. I am sorry i offered. I am sorry your room was so embarassing."
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Do Not miss out! "
57,0,"Sorry, I will call later in meeting."
58,0,Tell where you reached
59,0,Yes..gauti and sehwag out of odi series.
60,0,Your going to have to pick up a $1 burger for yourself on your way home. I cannot even move. Pain is killing me.
61,0,Ha ha ha good joke. Girls are situation seekers.
62,0,Its a part of checking IQ
63,0,"Sorry my roommates took forever, it ok if I come by now?"
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
66,0,"Today is ""song dedicated day.."" Which song will you dedicate for me? Send this to all you are valuable frnds but first rply me..."
67,1,"Urgent YOU ARE awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
68,1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
69,0,I plane to give on this month end.
70,0,Wah lucky man... Then can save money... Hee...
71,0,Finished class where are you.
72,0,HI BABE I AM AT HOME NOW WANT TO DO SOMETHING? XX
73,0,K..k:)where are you?how did you performed?
74,0,YOU can call me now...
75,0,I am waiting machan. Call me once you free.
76,0,That Is cool. i am a gentleman and will treat you with dignity and respect.
77,0,I like you peoples very much:) but am very shy pa.
78,0,Does not operate after  &lt;#&gt;  or what
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.
80,0,"Sorry, I will call later"
81,0,K. Did you call me just now ah? 
82,0,Ok i am on the way to home hi hi
83,0,You will be in the place of that man
84,0,Yup next stop.
85,0,"I call you later, do not have network. If urgnt, sms me."
86,0,For real when you getting on yo? I only need 2 more tickets and one more jacket and I am done. I already used all my multis.
87,0,Yes I started to send requests to make it but pain came back so I am back in bed. Double coins at the factory too. I got to cash in all my nitros.
88,0,I am really not up to it still tonight babe
89,0,"Ela kano.,il download, come wen you are free.."
90,0,Yeah do! Don‘t stand to close though- you‘ll catch something!
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i have not done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts YOU Smile becoz SOMEONE still Loves to see you Smiling!!
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
94,0,Have Not planning to buy later. I check already lido only got 530 show in e afternoon. YOU finish work already?
95,1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
96,0,Watching telugu movie..wat about you?
97,0,i see. When we finish we have loads of loans to pay
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that because prob for you?"""
99,0,I see a cup of coffee animation
100,0,Please do not text me anymore. I have nothing else to say.
101,0,Okay name you are price as long as its legal! Wen can I pick them up? Y you ave x ams xx
102,0,I am still looking for a car to buy. And have not gone 4the driving test yet.
103,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
104,0,"wow. You are right! I did not mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
105,0,Umma my life and vava umma love you lot dear
106,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
107,0,"Aight, I will hit you up when I get some cash"
108,0,How would my ip address test that considering my computer is not a minecraft server
109,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
110,0,Do Not worry. I guess he is busy.
111,0,What is the plural of the noun research?
112,0,Going for dinner.message you after.
113,0,I am ok wif it cos i like 2 try new things. But i scared you dun like mah. Cos you said not too loud.
114,1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
115,0,"Wa, you are openin sentence very formal... Anyway, i am fine too, juz tt i am eatin too much n puttin on weight...Haha... So anythin special happened?"
116,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
117,1,You are a winner YOU have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
118,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
119,0,Hmm...my uncle just informed me that he is paying the school directly. So pls buy food.
120,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
121,1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact YOU! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,0,here is my new address -apples&pairs&all that malarky
123,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
124,0,I am going to sao mu today. Will be done only at 12 
125,0,Ü predict wat time ü will finish buying?
126,0,"Good stuff, will do."
127,0,"Just so that you know,yetunde has not sent money yet. I just sent her a text not to bother sending. So its over, you do not have to involve yourself in anything. I should not have imposed anything on you in the first place so for that, i apologise."
128,0,Are you there in room.
129,0,HEY GIRL. HOW R YOU? HOPE YOU R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
130,0,K..k:)how much does it cost?
131,0,I am home.
132,0,"Dear, will call Tmorrow.pls accomodate."
133,0,First answer my question.
134,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if you know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
135,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 you are mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.message@150p
136,0,I only haf msn. It is yijue@hotmail.com
137,0,He is there. You call and meet him
138,0,No no. I will check all rooms befor activities
139,1,You will not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If you get nothing you must Age Verify with yr network & try again
140,0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
141,0,"K, text me when you are on the way"
142,0,"Sir, Waiting for your mail."
143,0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
144,0,I know you are. Can you pls open the back?
145,0,Yes see ya not on the dot
146,0,What Is the staff name who is taking class for us?
147,1,"FreeMsg Why have not you replied to my text? I am Randy, sexy, female and live local. Love to hear from you. Netcollex Ltd 08700621170150p per message reply Stop to end"
148,0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
149,0,K..i deleted my contact that why?
150,0,Sindu got job in birla soft ..
151,0,The wine is flowing and i am i have nevering..
152,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
153,0,Ok... You Are typical reply...
154,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
155,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
156,0,Aaooooright are you at work?
157,0,I am leaving my house now...
158,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
159,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
160,1,You are a winner YOU have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
161,0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
162,0,New car and house for my parents.:)i have only new job in hand:)
163,0,I am so in love with you. I am excited each day i spend with you. You make me so happy.
164,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/you/bootydelious STOP? Send STOP FRND to 62468
165,1,"BangBabes You Are order is on the way. YOU SHOULD receive a Service Message 2 download YOU ARE content. If YOU do not, GoTo wap. bangb. tv on YOU ARE mobile internet/service menu"
166,0,I place all you are points on e cultures module already.
167,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
168,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
169,0,Great escape. I fancy the bridge but needs her lager. See you tomo 
170,0,Yes :)it completely in out of form:)clark also utter waste.
171,0,"Sir, I need AXIS BANK account no and bank address."
172,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free about... Muz call you to discuss liao... "
173,0,What time you coming down later? 
174,0,"Bloody hell, cannot believe you forgot my surname Mr . Ill give you a clue, its spanish and begins with m... "
175,0,"Well, i am going to finish my bath now. Have a good...fine night."
176,0,Let me know when you have got the money so carlos can make the call
177,0,YOU still going to the mall?
178,0,"Turns out my friends are staying for the whole show and will not be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
179,0,Text her. If she does not reply let me know so i can have her log in
180,0,Hi! You just spoke to MANEESHA V. We would like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
181,0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
182,0,Lol no. YOU can trust me.
183,0,ok. I am a gentleman and will treat you with dignity and respect.
184,0,"He will, you guys close?"
185,0,Going on nothing great.bye
186,0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where is my boytoy now ? Does he miss me ?
187,0,"Haha awesome, be there in a minute"
188,1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
189,0,Have you got Xmas radio times. If not i will get it now
190,0,I jus reached home. I go bathe first. But my sis using net tell you when she finishes k...
191,1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
192,0,I am sorry. I have joined the league of people that do not keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
193,0,Hi :)finally i completed the course:)
194,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
195,0,How are you doing? Hope you have settled in for the new school year. Just wishin you a gr8 day
196,0,Gud mrng dear hav a nice day
197,0,Did you got that persons story
198,0,is your hamster dead? Hey so tomorrow i meet you at 1pm orchard mrt? 
199,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if you can. :) xxx
200,0,"Found it, ENC  &lt;#&gt; , where you at?"
201,0,I sent you  &lt;#&gt;  bucks
202,0,Hello darlin i have finished college now so txt me when you finish if you can love Kate xxx
203,0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
204,0,Goodmorning sleeping ga.
205,0,YOU call me alter at 11 ok.
206,0,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
207,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
208,0,"Aight yo, dats straight dogg"
209,0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
210,0,Both :) i shoot big loads so get ready!
211,0,"What is up bruv, hope you had a great break. Do have a rewarding semester."
212,0,Home so we can always chat
213,0,K:)k:)good:)study well.
214,0,Yup... How ü noe leh...
215,0,Sounds great! Are you home now?
216,0,Finally the match heading towards draw as your prediction.
217,0,Tired. I have not slept well the past few nights.
218,0,Easy ah?sen got selected means its good..
219,0,I have to take exam with march 3
220,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there is anyway i can help let me know. But when you do be sure you are ready.
221,0,Ok no prob. Take you are time.
222,0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
223,0,"Sorry, I will call later"
224,0,YOU say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
225,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
226,0,Would really appreciate if you call me. Just need someone to talk to.
227,1,"Will you meet you are dream partner soon? Is you are career off 2 a flyng start? 2 find out free, txt HORO followed by you are star sign, e. g. HORO ARIES"
228,0,Hey company elama po mudyadhu.
229,0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
230,0,Dear good morning now only i am up
231,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
232,0,Dear we are going to our rubber place
233,0,"Sorry battery died, yeah I am here"
234,0,Yes:)here tv is always available in work place..
235,1,Text & meet someone sexy today. YOU can find a date or even flirt its up to YOU. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -message recd@thirtyeight pence
236,0,I have printed it oh. So  &lt;#&gt;  come upstairs
237,0,Or ill be a little closer like at the bus stop on the same street
238,0,Where are you?when wil you reach here?
239,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So do not argue with you are friends just.. . . . kick them &amp; say, I am always correct.!"
240,1,YOU 447801259231 have a secret admirer who is looking 2 make contact with YOU-find out who they R*reveal who thinks YOU ARE so special-call on 09058094597
241,0,Tomarrow final hearing on my laptop case so i cannot.
242,0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
243,0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
244,0,"Although i told you dat i am into baig face watches now but i really like e watch you gave cos it is fr you. Thanx 4 everything dat you've done today, i am touched..."
245,0,YOU do not remember that old commercial?
246,0,Too late. I said i have the website. I did not i have or do not have the slippers
247,0,I asked you to call him now ok
248,0,Kallis will not bat in 2nd innings.
249,0,It did not work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
250,1,Congratulations you are awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
251,0,Ranjith cal drpd Deeraj and deepak 5min hold
252,0,"Wen you are lovable bcums angry wid you, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n love!.. kettoda manda... Have nice day da."
253,0,What you doing?how are you?
254,0,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
255,0,"I am back, let me know when you are ready"
256,0,Do not necessarily expect it to be done before you get back though because I am just now headin out
257,0,Mmm so yummy babe ... Nice jolt to the suzy
258,0,Where are you lover ? I need you ...
259,1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
260,0,I‘m parked next to a MINI!!!! When are you coming in today do you think?
261,0,Yup
262,0,Anyway i am going shopping on my own now. Cos my sis not done yet. Dun disturb you liao.
263,0,MY NO. IN LUTON 0125698789 RING ME IF YOU ARE AROUND! H*
264,1,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
265,0,Why you Dint come with us.
266,0,Same. Wana plan a trip sometme then
267,0,"Not sure yet, still trying to get a hold of him"
268,1,You Are ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
269,0,The evo. I just had to download flash. Jealous?
270,1,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
271,0,"Come to mu, we are sorting out our narcotics situation"
272,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
273,1,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
274,0,"Usf I guess, might as well take 1 car"
275,0,No objection. My bf not coming.
276,0,Thanx...
277,0,Tell rob to mack his gf in the theater
278,0,"Awesome, I will see you in a bit"
279,0,Just sent it. So what type of food do you like?
280,0,All done? All handed in? Celebrations in full swing yet?
281,0,You got called a tool?
282,0,"Wen you miss someone, the person is definitely special for you..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
283,0,Ok. I asked for money how far
284,0,Okie...
285,0,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I will throw down"
286,0,"K, I might come by tonight then if my class let us out early"
287,0,Ok..
288,0,hi baby i am cruisin with my girl friend what r you up 2? give me a call in and hour at home if that is alright or fone me on this fone now love jenny xxx
289,0,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
290,0,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
291,0,Hey you told your name to gautham ah?
292,0,Haf you found him? I feel so stupid da v cam was working.
293,0,Oops. 4 got that bit.
294,0,Are you this much buzy
295,0,I accidentally deleted the message. Resend please.
296,1,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
297,0,Unless it is a situation where YOU GO GURL would be more appropriate
298,0,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS YOU.. HAVE A NICE DAY BSLVYL
299,0,I cannot pick the phone right now. Pls send a message
300,0,Need a coffee run tomo?Cannot believe it is that time of week already
301,0,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
302,0,"Shit that is really shocking and scary, cannot imagine for a second. Def up for night out. Do you think there is somewhere i could crash for night, save on taxi?"
303,0,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
304,0,He is a womdarfull actor
305,1,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
306,0,Yup... From what i remb... I think should be can book... 
307,0,Jos ask if you wana meet up?
308,0,Lol yes. Our friendship is hanging on a thread because you will not buy stuff.
309,1,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
310,0,Where are the garage keys? They are not on the bookshelf
311,0,Today is ACCEPT DAY..YOU Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,1,"Think you are smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
313,0,He says he will give me a call when his friend's got the money but that he is definitely buying before the end of the week
314,0,"Hi the way I was with you 2day, is the normal way&this is the real me. YOU ARE unique&I hope I know you 4 the rest of mylife. Hope you find wot was lost."
315,0,You made my day. Do have a great day too.
316,0,K.k:)advance happy pongal.
317,0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, do not know we can tahan power yoga anot... Thk got lo oso, forgot liao..."
318,0,"Not really dude, have no friends i am afraid :("
319,1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
320,0,"Coffee cake, i guess..."
321,0,"Merry Christmas to you too babe, i love ya *kisses*"
322,0,Hey... Why do not we just go watch x men and have lunch... Haha 
323,0,cud you tell people i am gona b a bit l8 cos 2 buses hav gon past cos they were full & i am still waitin 4 1. Pete x
324,0,That would be great. We will be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
325,0,No problem. How are you doing?
326,0,No calls..messages..missed calls
327,0,Hi da:)how is the todays class?
328,0,"I would say that is a good sign but, well, you know my track record at reading women"
329,0,"Cool, text me when you are parked"
330,0,I am reading the text i just sent you. Its meant to be a joke. So read it in that light
331,0,K.k:)apo k.good movie.
332,0,Maybe i could get book out tomo then return it immediately ..? Or something.
333,1,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
334,0,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
335,1,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/message rcvd. CustCare:08718720201.
336,0,"Ta-Daaaaa! I am home babe, are you still up ?"
337,0,Cool. So how come you have not been wined and dined before?
338,0,Just sleeping..and surfing
339,0,"Sorry, I will call later"
340,0,YOU calling me right? Call my hand phone...
341,0,Ok that is great thanx a lot.
342,0,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
343,0,Where you been hiding stranger?
344,0,Am not interested to do like that.
345,0,My sister cleared two round in birla soft yesterday.
346,0,Gudnite....tc...practice going on
347,0,Dis is yijue. I jus saw you are mail. In case huiming have not sent you my num. Dis is my num.
348,0,One small prestige problem now.
349,1,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per message. TnCs on website. X
350,0,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
351,0,"Nah cannot help you there, I have never had an iphone"
352,0,If you are not in my car in an hour and a half I am going apeshit
353,0,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its you are fault, I am basically GOOD"
354,0,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
355,0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
356,0,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
357,1,Congratulations you are awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
358,1,You Are cash-balance is currently 500 pounds - to maximize you are cash-in now send CASH to 86688 only 150p/message. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
359,0,"I am an actor. When i work, i work in the evening and sleep late. Since i am unemployed at the moment, i ALWAYS sleep late. When you are unemployed, every day is saturday."
360,0,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
361,0,Ha ha cool cool chikku chikku:-):-DB-)
362,0,Oh ok no prob..
363,0,Check audrey's status right now
